#,Razão Social,Nome Fantasia,Capital Social,Subgrupo,Categoria CNAE,Divisão CNAE,Grupo CNAE,Classe CNAE,CNAE,Submercado,Região,Estado,Cidade,Bairro,CNPJ,Email,Telefone,Consumo Classe (12M) MWMed,Consumo Classe Mês MWMed,Consumo Classe/Subm. (12M) MWMed,Consumo Classe/Subm. Mês MWMed,Consumo Classe/Estado (12M) MWMed,Consumo Classe/Estado Mês MWMed,Break-Even Classe/Distr. Mês,Break-Even Classe/Distr. 12M,Break-Even Classe/Distr./Subm. Mês,Break-Even Classe/Distr./Subm. 12M,Break-Even Classe/Distr./Est. Mês,Break-Even Classe/Distr./Est. 12M,Cresc. Consumo Classe (mês) %,Cresc. Consumo Classe/Subm. (mês) %,Cresc. Consumo Classe/Estado (mês) %,Cresc. Consumo Classe (mês ano ant.) %,Cresc. Consumo Classe/Subm. (mês ano ant.) %,Cresc. Consumo Classe/Estado (mês ano ant.) %
0,"""DOLCE E'FREDDO"" LANCHONETES E SORVETERIAS LTDA",,80.000,B3,Comercial,ALIMENTAÇÃO,Restaurantes e outros serviços de alimentação e bebidas,Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,"Lanchonetes, casas de chá, de sucos e similares",s,S,PR,CURITIBA,CENTRO,81198475000136,ADMINISTRATIVO@AUAU.COM.BR,41  30925657,"0,054","0,032","0,103","0,038","0,103","0,038",,,,,,,"13,32","49,02","49,02","-43,47","-56,75","-56,75"
1,''AAMPARA'' - ''ASSOCIACAO DE ATENDIMENTO E APOIO AO AUTISTA DE CURITIBA PR.'',AMA ''ASSOCIACAO DE AMIGOS PELO AUTISTA'',,B3,Comercial,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,s,S,PR,CURITIBA,SAO FRANCISCO,08283628000153,dfreitas34@gmail.com,41  99435021,"0,211","0,101","0,095","0,031","0,11","0,03",,,,,,,"1,26","13,9","23,04","-54,35","-79,78","-64,53"
2,''CONDOMINIO ''PAOLO DE LUCCA'',,,B3,Comercial,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,Serviços combinados para apoio a edifícios,Condomínios prediais,Condomínios prediais,s,S,PR,CURITIBA,SANTA CANDIDA,20022857000110,bruno@ernestgardemann.com.br,41  33444504,"0,705","0,351","0,522","0,26","0,596","0,289","397,29","385,53","391,16",383,,,"37,83","12,19","37,97","-49,94","-42,56","-43,19"
3,''CONDOMINIO RESIDENCIAL IGUATEMY'',CONDOMINIO RESIDENCIAL IGUATEMY,,B3,Comercial,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,Serviços combinados para apoio a edifícios,Condomínios prediais,Condomínios prediais,s,S,PR,PIRAQUARA,GUARAITUBA,13190117000127,,41  32844117,"0,705","0,351","0,522","0,26","0,596","0,289","397,29","385,53","391,16",383,,,"37,83","12,19","37,97","-49,94","-42,56","-43,19"
4,''CONDOMINIO RESIDENCIAL JOAO DE BARRO'',''CONDOMINIO RESIDENCIAL JOAO DE BARRO'',,B3,Comercial,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,Serviços combinados para apoio a edifícios,Condomínios prediais,Condomínios prediais,s,S,PR,PINHAIS,WEISSOPOLIS,11942692000103,octra@octra.com.br,41  32844117,"0,705","0,351","0,522","0,26","0,596","0,289","397,29","385,53","391,16",383,,,"37,83","12,19","37,97","-49,94","-42,56","-43,19"
5,''CONDOMINIO RESIDENCIAL SPAZIO CHARLOTTE'',,,B3,Comercial,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,Serviços combinados para apoio a edifícios,Condomínios prediais,Condomínios prediais,s,S,PR,CURITIBA,NOVO MUNDO,20236065000148,bruno@ernestgardemann.com.br,41  33444504,"0,705","0,351","0,522","0,26","0,596","0,289","397,29","385,53","391,16",383,,,"37,83","12,19","37,97","-49,94","-42,56","-43,19"
6,''EDIFICIO EL HAKOUR'',,,B3,Comercial,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,Serviços combinados para apoio a edifícios,Condomínios prediais,Condomínios prediais,s,S,PR,CURITIBA,CAPAO RASO,20496516000186,cmpremium@cmpremium.com.br,41  30239033,"0,705","0,351","0,522","0,26","0,596","0,289","397,29","385,53","391,16",383,,,"37,83","12,19","37,97","-49,94","-42,56","-43,19"
7,''INFINITY PRIME OFFICES'',''INFINITY PRIME OFFICES'',,B3,Comercial,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,Serviços combinados para apoio a edifícios,Condomínios prediais,Condomínios prediais,s,S,PR,CURITIBA,CABRAL,17466719000115,admparana@admparana.com.br,41  38831700,"0,705","0,351","0,522","0,26","0,596","0,289","397,29","385,53","391,16",383,,,"37,83","12,19","37,97","-49,94","-42,56","-43,19"
8,"''MARITIMO ADMINISTRADORA DE BENS PROPRIOS, CONSULTORIA E PARTICIPACOES LTDA''",,2.251.912,A4,Comercial,ATIVIDADES DE SERVIÇOS FINANCEIROS,Atividades de sociedades de participação,Holdings de instituições não-financeiras,Holdings de instituições não-financeiras,s,S,PR,CURITIBA,PORTAO,20040973000161,JUNIORTRJ@BOL.COM.BR,41  99759975,"0,884","0,747","0,452","0,791",,,"350,29","350,29",,,,,"-15,22","31,43",,"-23,28","129,71",
9,''MELLO & FURTADO ADVOCACIA'',''MELLO & FURTADO ADVOCACIA'',25.000,B3,Comercial,"ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA",Atividades jurídicas,"Atividades jurídicas, exceto cartórios",Serviços advocatícios,s,S,PR,CURITIBA,CENTRO,20754338000146,DAVID@MELLOFURTADO.ADV.BR,41  30799559,"0,057","0,042",,,,,,,,,,,"7,98",,,"-25,57",,
